미국 USD, 1423.00, 3.00, +0.21% 
일본 JPY 100, 973.96, 6.10, +0.63% 
유럽연합 EUR, 1424.71, 0.31, +0.02% 
중국 CNY, 196.32, 0.47, -0.24% 
영국 GBP, 1649.54, 6.17, +0.38% 
호주 AUD, 921.32, 3.15, +0.34% 
캐나다 CAD, 1051.35, 6.46, +0.62% 
뉴질랜드 NZD, 830.61, 7.01, +0.85% 
미국 USD, 1423.00, 3.00, +0.21% 
일본 JPY 100, 973.96, 6.10, +0.63% 
유럽연합 EUR, 1424.71, 0.31, +0.02% 
중국 CNY, 196.32, 0.47, -0.24% 
영국 GBP, 1649.54, 6.17, +0.38% 
호주 AUD, 921.32, 3.15, +0.34% 
캐나다 CAD, 1051.35, 6.46, +0.62% 
뉴질랜드 NZD, 830.61, 7.01, +0.85% 
미국 USD, 1423.00, 3.00, +0.21% 
일본 JPY 100, 973.96, 6.10, +0.63% 
유럽연합 EUR, 1424.71, 0.31, +0.02% 
중국 CNY, 196.32, 0.47, -0.24% 
영국 GBP, 1649.54, 6.17, +0.38% 
호주 AUD, 921.32, 3.15, +0.34% 
캐나다 CAD, 1051.35, 6.46, +0.62% 
뉴질랜드 NZD, 830.61, 7.01, +0.85% 
미국 USD, 1423.00, 3.00, +0.21% 
일본 JPY 100, 973.96, 6.10, +0.63% 
유럽연합 EUR, 1424.71, 0.31, +0.02% 
중국 CNY, 196.32, 0.47, -0.24% 
영국 GBP, 1649.54, 6.17, +0.38% 
호주 AUD, 921.32, 3.15, +0.34% 
캐나다 CAD, 1051.35, 6.46, +0.62% 
뉴질랜드 NZD, 830.61, 7.01, +0.85% 
